line_code,line_name,station_order,station_name
blue,Blue Line,1,Noida City Center
blue,Blue Line,2,Noida Electronic City
blue,Blue Line,3,Noida Sector 16
blue,Blue Line,4,Noida Sector 18
blue,Blue Line,5,Noida Sector 34/Sector 52
blue,Blue Line,6,Noida Central
blue,Blue Line,7,South Ex
blue,Blue Line,8,Dwarka Sector 8
blue,Blue Line,9,Dwarka Sector 9
blue,Blue Line,10,Dwarka Sector 11
blue,Blue Line,11,Dwarka Sector 12
blue,Blue Line,12,Dwarka Sector 14
blue,Blue Line,13,Dwarka
blue,Blue Line,14,Rajiv Chowk
blue,Blue Line,15,Barakhamba Road
blue,Blue Line,16,Mandi House
blue,Blue Line,17,Pragati Maidan
