line_code,line_name,station_order,station_name
green,Green Line,1,Brigadier Hoshiar Singh
green,Green Line,2,Estakada
green,Green Line,3,Mayur Vihar Phase 1
green,Green Line,4,Mayur Vihar Extension
green,Green Line,5,Greater Kailash
green,Green Line,6,Kalkaji Mandir
green,Green Line,7,Nehru Enclave
green,Green Line,8,Khanpur
green,Green Line,9,Ankur
green,Green Line,10,Botanical Garden
green,Green Line,11,Indraprastha
green,Green Line,12,Chawri Bazaar
green,Green Line,13,Kasturba Nagar
green,Green Line,14,Lajpat Nagar
