line_code,line_name,station_order,station_name
pink,Pink Line,1,Majlis Park
pink,Pink Line,2,Azadpur
pink,Pink Line,3,Shalimar Bagh
pink,Pink Line,4,Netaji Subhas Place
pink,Pink Line,5,Inder Lok
pink,Pink Line,6,Kanhaiya Nagar
pink,Pink Line,7,Kasturba Nagar
pink,Pink Line,8,Mandi House
pink,Pink Line,9,Barakhamba Road
pink,Pink Line,10,Rajiv Chowk
pink,Pink Line,11,Patel Chowk
pink,Pink Line,12,Lajpat Nagar
pink,Pink Line,13,South Extension
pink,Pink Line,14,Mayur Vihar Phase 1
pink,Pink Line,15,Mayur Vihar Extension
