line_code,line_name,station_order,station_name
red,Red Line,1,Dilshad Garden
red,Red Line,2,Shahbad Dairy
red,Red Line,3,Shalimar Bagh
red,Red Line,4,Ashok Vihar
red,Red Line,5,Punjabi Bagh
red,Red Line,6,Inder Lok
red,Red Line,7,Kanhaiya Nagar
red,Red Line,8,Kasturba Nagar
red,Red Line,9,Lajpat Nagar
red,Red Line,10,Jangpura
red,Red Line,11,Karol Bagh
red,Red Line,12,New Delhi
red,Red Line,13,Chawri Bazaar
red,Red Line,14,Chandni Chowk
red,Red Line,15,Kashmere Gate
red,Red Line,16,Civil Lines
red,Red Line,17,Old Delhi
red,Red Line,18,Netaji Subhas Place
