line_code,line_name,station_order,station_name
violet,Violet Line,1,Kasturba Nagar
violet,Violet Line,2,Ashok Vihar
violet,Violet Line,3,Mukherjee Nagar
violet,Violet Line,4,Shastri Nagar
violet,Violet Line,5,Chandni Chowk
violet,Violet Line,6,Chawri Bazaar
violet,Violet Line,7,New Delhi
violet,Violet Line,8,Patel Chowk
violet,Violet Line,9,Central Secretariat
violet,Violet Line,10,Khan Market
violet,Violet Line,11,JLN Stadium
violet,Violet Line,12,Lajpat Nagar
violet,Violet Line,13,Moolchand
violet,Violet Line,14,Kalkaji Mandir
violet,Violet Line,15,Govind Puri
