line_code,line_name,station_order,station_name
yellow,Yellow Line,1,Samaypur Badli
yellow,Yellow Line,2,Rohini Sector 18
yellow,Yellow Line,3,Rohini Sector 16
yellow,Yellow Line,4,Rohini Sector 15
yellow,Yellow Line,5,Netaji Subhas Place
yellow,Yellow Line,6,Kasturba Nagar
yellow,Yellow Line,7,Pul Bangash
yellow,Yellow Line,8,Chandni Chowk
yellow,Yellow Line,9,Chawri Bazaar
yellow,Yellow Line,10,New Delhi
yellow,Yellow Line,11,Rajiv Chowk
yellow,Yellow Line,12,Patel Chowk
yellow,Yellow Line,13,Central Secretariat
yellow,Yellow Line,14,Udyog Bhawan
yellow,Yellow Line,15,South Extension
yellow,Yellow Line,16,Lodi Garden
yellow,Yellow Line,17,Amar Colony
yellow,Yellow Line,18,Kalkaji Mandir
yellow,Yellow Line,19,Govind Puri
yellow,Yellow Line,20,Okhla Vihar
yellow,Yellow Line,21,Jamia Millia Islamia
yellow,Yellow Line,22,Sukhdev Vihar
yellow,Yellow Line,23,Badarpur Border
